Date,AAPL,AMZN,DAID,FBBK,MSFT,TSLA,TWTR
2013-11-07,16.2533,343.559998,42.162956,47.560001,31.971983,27.954,44.900002
2013-11-08,16.509241,350.309998,41.5895,47.529999,32.210696999999996,27.59,41.650002
2013-11-11,16.461349,354.380005,41.29578,46.200001,32.04871,28.940001000000002,42.900002
2013-11-12,16.491795,349.52999900000003,41.246821999999995,46.610001000000004,31.852615000000004,27.559998999999998,41.900002
2013-11-13,16.511454,356.22000099999997,40.610424,48.709998999999996,32.534683,27.74,42.599998
2013-11-14,16.750265,367.399994,41.246821999999995,48.990002000000004,32.415314,27.52,44.689999
2013-11-15,16.649727,369.170013,41.030025,49.009997999999996,32.261845,27.09,43.98
2013-11-18,16.448029000000002,366.179993,41.792301,45.830002,31.716196000000004,24.316,41.139998999999996
2013-11-19,16.477204999999998,364.940002,41.659431,46.360001000000004,31.561553999999997,25.218,41.75
2013-11-20,16.332907000000002,362.570007,41.708378,46.43,31.853642999999998,24.222,41.049999
2013-11-21,16.527628,368.920013,41.701389,46.700001,32.128544,24.42,42.060001
2013-11-22,16.485134,372.309998,42.051056,46.23,32.274582,24.275999,41.0
2013-11-25,16.610086,376.640015,42.39373,44.82,32.334709000000004,24.167999,39.060001
2013-11-26,16.916447,381.369995,42.34478,45.889998999999996,32.085578999999996,24.1,40.18
2013-11-27,17.314783,386.709991,42.736404,46.490002000000004,32.300339,25.388,40.900002
2013-11-29,17.635414,393.619995,42.659485,47.009997999999996,32.75565,25.455999,41.57
2013-12-02,17.481915,392.299988,42.813334999999995,47.060001,33.030547999999996,24.834,40.779999
2013-12-03,17.960487,384.660004,41.904198,46.73,32.910278000000005,28.940001000000002,41.369999
2013-12-04,17.918620999999998,385.959991,41.498585,48.619999,33.451481,27.790001,43.689999
2013-12-05,18.01059,384.48999,40.771271,48.34,32.643966999999996,28.096001,45.619999
2013-12-06,17.760687,386.950012,41.470612,47.939999,32.953224,27.472,44.950001
2013-12-09,17.963976000000002,384.890015,41.708378,48.84,33.253887,28.32,49.139998999999996
2013-12-10,17.936066,387.77999900000003,41.246821999999995,50.25,32.738461,28.438,51.990002000000004
2013-12-11,17.803179,382.190002,41.365711,49.380001,32.308952000000005,27.93,52.34
2013-12-12,17.777179999999998,381.25,41.176891,51.830002,31.973913,29.493999,55.330002
2013-12-13,17.583401000000002,384.23999,41.058002,53.32,31.51861,29.530001000000002,59.0
2013-12-16,17.680765,388.97000099999997,41.673415999999996,53.810001,31.690421999999998,29.587999,56.610001000000004
2013-12-17,17.601164,387.649994,41.365711,54.860001000000004,31.372576000000002,30.492001000000002,56.450001
2013-12-18,17.467325,395.959991,41.687405,55.57,31.424115999999998,29.596001,55.509997999999996
2013-12-19,17.267210000000002,395.190002,42.561577,55.049999,31.140633,28.143998999999997,57.490002000000004
2013-12-20,17.411827,402.200012,43.169998,55.119999,31.613111,28.648001,60.009997999999996
2013-12-23,18.080048,402.920013,43.568615,57.77,31.458477000000002,28.709999,64.540001
2013-12-27,17.762903,398.079987,44.163059000000004,55.439999,32.034046000000004,30.224001,63.75
2013-12-30,17.586256,393.369995,43.98822,53.709998999999996,32.034046000000004,30.488001,60.509997999999996
2014-01-02,17.542171,397.97000099999997,43.114052,54.709998999999996,31.922365000000003,30.02,67.5
2014-01-03,17.156843,396.440002,43.169998,54.560001,31.707611,29.912001,69.0
2014-01-06,17.250397,393.630005,43.037128,57.200001,31.037535,29.4,66.290001
2014-01-07,17.127031,398.02999900000003,43.638557,57.919998,31.27807,29.872,61.459998999999996
2014-01-08,17.235497,401.920013,43.50568,58.23,30.7197,30.256001,59.290001000000004
2014-01-09,17.015392000000002,401.01001,43.463718,57.220001,30.5221,29.506001,57.049999
2014-01-10,16.901857,397.660004,43.435745000000004,57.939999,30.960226000000002,29.143998999999997,57.0
2014-01-13,16.990345,390.980011,43.967239,55.91,30.049635,27.868,57.82
2014-01-14,17.328419,397.540009,44.498734000000006,57.740002000000004,30.736881,32.254002,58.209998999999996
2014-01-15,17.676325,395.869995,45.806496,57.599998,31.578737,32.826,61.57
2014-01-16,17.577692000000003,395.799988,45.834469,57.189999,31.690421999999998,34.194,60.57
2014-01-17,17.147009,399.609985,46.219101,56.299999,31.252302,34.001999,62.200001
2014-01-21,17.413412,407.049988,45.85545,58.509997999999996,31.071896000000002,35.335999,62.529999
2014-01-22,17.490795000000002,404.540009,46.14917,57.509997999999996,30.865738,35.712002000000005,62.439999
2014-01-23,17.638895,399.869995,45.638653000000005,56.630001,30.977406,36.299999,62.799999
2014-01-24,17.318270000000002,387.600006,43.939265999999996,54.450001,31.621702000000003,34.919998,61.740002000000004
2014-01-27,17.458763,386.27999900000003,43.589596,53.549999,30.951632,33.924,57.91
2014-01-28,16.063334,394.429993,43.939265999999996,55.139998999999996,31.15782,35.675999,60.439999
2014-01-29,15.880976,384.200012,43.21196,53.529999,31.492844,35.046001000000004,59.450001
2014-01-30,15.850210999999998,403.01001,43.708484999999996,61.080002,31.664654,36.568001,63.470001
2014-01-31,15.876215,358.690002,43.449729999999995,62.57,32.506519,36.282001,64.5
2014-02-03,15.905709,346.149994,42.442688000000004,61.48,31.338216999999997,35.422001,65.25
2014-02-04,16.135956,347.950012,42.442688000000004,62.75,31.22653,35.745998,66.32
2014-02-05,16.25647,346.450012,42.575562,62.189999,30.771241999999997,34.883998999999996,65.970001
2014-02-06,16.351225,354.589996,43.694496,62.16,31.080494,35.675999,50.029999
2014-02-07,16.579977,361.079987,44.435795,64.32,31.406933000000002,37.306,54.349998
