Bus_k,Bus_j,Connectivity,
f5_83,f5_166,0,
f5_83,f5_133,0,
f5_83,f5_124,0,
f5_83,f5_125,0,
f5_83,f5_149,0,
f5_83,f5_139,0,
f5_83,f5_161,0,
f5_83,f5_142,0,
f5_83,f5_153,0,
f5_83,f5_188,0,
f5_83,f5_160,0,
f5_83,f5_151,0,
f5_83,f5_167,0,
f5_83,f5_159,0,
f5_83,f5_174,0,
f5_83,f5_211,0,
f5_83,f5_178,0,
f5_83,f5_173,0,
f5_83,f5_189,0,
f5_83,f5_227,0,
f5_83,f5_200,0,
f5_83,f5_194,0,
f5_83,f5_201,0,
f5_83,f5_237,0,
f5_83,f5_234,0,
f5_83,f5_268,0,
f5_83,f5_216,0,
f5_83,f5_222,0,
f5_83,f5_232,0,
f5_83,f5_238,0,
f5_83,f5_308,0,
f5_83,f5_274,0,
f5_83,f5_243,0,
f5_83,f5_256,0,
f5_117,slack,0,
f5_117,primary,0,
f5_117,secondary,0,
f5_117,f5_22,0,
f5_117,f5_75,1,
f5_117,f5_83,0,
f5_117,f5_117,1,
f5_117,f5_87,0,
f5_117,f5_132,0,
f5_117,f5_92,0,
f5_117,f5_140,0,
f5_117,f5_98,0,
f5_117,f5_130,0,
f5_117,f5_105,0,
f5_117,f5_148,0,
f5_117,f5_111,0,
f5_117,f5_166,0,
f5_117,f5_133,0,
f5_117,f5_124,1,
f5_117,f5_125,1,
f5_117,f5_149,0,
f5_117,f5_139,0,
f5_117,f5_161,0,
f5_117,f5_142,0,
f5_117,f5_153,0,
f5_117,f5_188,0,
f5_117,f5_160,0,
f5_117,f5_151,0,
f5_117,f5_167,0,
f5_117,f5_159,0,
f5_117,f5_174,0,
f5_117,f5_211,0,
f5_117,f5_178,0,
f5_117,f5_173,0,
f5_117,f5_189,0,
f5_117,f5_227,0,
f5_117,f5_200,0,
f5_117,f5_194,0,
f5_117,f5_201,0,
f5_117,f5_237,0,
f5_117,f5_234,0,
f5_117,f5_268,0,
f5_117,f5_216,0,
f5_117,f5_222,0,
f5_117,f5_232,0,
f5_117,f5_238,0,
f5_117,f5_308,0,
f5_117,f5_274,0,
f5_117,f5_243,0,
f5_117,f5_256,0,
f5_87,slack,0,
f5_87,primary,0,
f5_87,secondary,0,
f5_87,f5_22,0,
f5_87,f5_75,0,
f5_87,f5_83,1,
f5_87,f5_117,0,
f5_87,f5_87,1,
f5_87,f5_132,0,
f5_87,f5_92,1,
f5_87,f5_140,1,
f5_87,f5_98,0,
f5_87,f5_130,0,
f5_87,f5_105,0,
f5_87,f5_148,0,
f5_87,f5_111,0,
f5_87,f5_166,0,
f5_87,f5_133,0,
f5_87,f5_124,0,
f5_87,f5_125,0,
f5_87,f5_149,0,
f5_87,f5_139,0,
f5_87,f5_161,0,
f5_87,f5_142,0,
f5_87,f5_153,0,
f5_87,f5_188,0,
f5_87,f5_160,0,
f5_87,f5_151,0,
f5_87,f5_167,0,
f5_87,f5_159,0,
f5_87,f5_174,0,
f5_87,f5_211,0,
f5_87,f5_178,0,
f5_87,f5_173,0,
f5_87,f5_189,0,
f5_87,f5_227,0,
f5_87,f5_200,0,
f5_87,f5_194,0,
f5_87,f5_201,0,
f5_87,f5_237,0,
f5_87,f5_234,0,
f5_87,f5_268,0,
f5_87,f5_216,0,
f5_87,f5_222,0,
f5_87,f5_232,0,
f5_87,f5_238,0,
f5_87,f5_308,0,
f5_87,f5_274,0,
f5_87,f5_243,0,
f5_87,f5_256,0,
f5_132,slack,0,
f5_132,primary,0,
f5_132,secondary,0,
f5_132,f5_22,0,
f5_132,f5_75,0,
f5_132,f5_83,1,
f5_132,f5_117,0,
f5_132,f5_87,0,
f5_132,f5_132,1,
f5_132,f5_92,0,
f5_132,f5_140,0,
f5_132,f5_98,0,
f5_132,f5_130,0,
f5_132,f5_105,0,
f5_132,f5_148,0,
f5_132,f5_111,0,
f5_132,f5_166,0,
f5_132,f5_133,0,
f5_132,f5_124,0,
f5_132,f5_125,0,
f5_132,f5_149,0,
f5_132,f5_139,0,
f5_132,f5_161,1,
f5_132,f5_142,1,
f5_132,f5_153,0,
f5_132,f5_188,0,
f5_132,f5_160,0,
f5_132,f5_151,0,
f5_132,f5_167,0,
f5_132,f5_159,0,
f5_132,f5_174,0,
f5_132,f5_211,0,
f5_132,f5_178,0,
f5_132,f5_173,0,
f5_132,f5_189,0,
f5_132,f5_227,0,
f5_132,f5_200,0,
f5_132,f5_194,0,
f5_132,f5_201,0,
f5_132,f5_237,0,
f5_132,f5_234,0,
f5_132,f5_268,0,
f5_132,f5_216,0,
f5_132,f5_222,0,
f5_132,f5_232,0,
f5_132,f5_238,0,
f5_132,f5_308,0,
f5_132,f5_274,0,
f5_132,f5_243,0,
f5_132,f5_256,0,
f5_92,slack,0,
f5_92,primary,0,
f5_92,secondary,0,
f5_92,f5_22,0,
f5_92,f5_75,0,
f5_92,f5_83,0,
f5_92,f5_117,0,
f5_92,f5_87,1,
f5_92,f5_132,0,
f5_92,f5_92,1,
f5_92,f5_140,0,
f5_92,f5_98,1,
f5_92,f5_130,1,
f5_92,f5_105,0,
f5_92,f5_148,0,
f5_92,f5_111,0,
f5_92,f5_166,0,
f5_92,f5_133,0,
f5_92,f5_124,0,
f5_92,f5_125,0,
f5_92,f5_149,0,
f5_92,f5_139,0,
f5_92,f5_161,0,
f5_92,f5_142,0,
f5_92,f5_153,0,
f5_92,f5_188,0,
f5_92,f5_160,0,
f5_92,f5_151,0,
f5_92,f5_167,0,
f5_92,f5_159,0,
f5_92,f5_174,0,
f5_92,f5_211,0,
f5_92,f5_178,0,
f5_92,f5_173,0,
f5_92,f5_189,0,
f5_92,f5_227,0,
f5_92,f5_200,0,
f5_92,f5_194,0,
f5_92,f5_201,0,
f5_92,f5_237,0,
f5_92,f5_234,0,
f5_92,f5_268,0,
f5_92,f5_216,0,
f5_92,f5_222,0,
f5_92,f5_232,0,
f5_92,f5_238,0,
f5_92,f5_308,0,
f5_92,f5_274,0,
f5_92,f5_243,0,
f5_92,f5_256,0,
f5_140,slack,0,
f5_140,primary,0,
f5_140,secondary,0,
f5_140,f5_22,0,
f5_140,f5_75,0,
f5_140,f5_83,0,
f5_140,f5_117,0,
f5_140,f5_87,1,
f5_140,f5_132,0,
f5_140,f5_92,0,
f5_140,f5_140,1,
f5_140,f5_98,0,
f5_140,f5_130,0,
f5_140,f5_105,0,
f5_140,f5_148,0,
f5_140,f5_111,0,
f5_140,f5_166,0,
f5_140,f5_133,0,
f5_140,f5_124,0,
f5_140,f5_125,0,
f5_140,f5_149,0,
f5_140,f5_139,0,
f5_140,f5_161,0,
f5_140,f5_142,0,
f5_140,f5_153,0,
f5_140,f5_188,0,
f5_140,f5_160,1,
f5_140,f5_151,1,
f5_140,f5_167,0,
f5_140,f5_159,0,
f5_140,f5_174,0,
f5_140,f5_211,0,
f5_140,f5_178,0,
f5_140,f5_173,0,
f5_140,f5_189,0,
f5_140,f5_227,0,
f5_140,f5_200,0,
f5_140,f5_194,0,
f5_140,f5_201,0,
f5_140,f5_237,0,
f5_140,f5_234,0,
f5_140,f5_268,0,
f5_140,f5_216,0,
f5_140,f5_222,0,
f5_140,f5_232,0,
f5_140,f5_238,0,
f5_140,f5_308,0,
f5_140,f5_274,0,
f5_140,f5_243,0,
f5_140,f5_256,0,
f5_98,slack,0,
f5_98,primary,0,
f5_98,secondary,0,
f5_98,f5_22,0,
f5_98,f5_75,0,
f5_98,f5_83,0,
f5_98,f5_117,0,
f5_98,f5_87,0,
f5_98,f5_132,0,
f5_98,f5_92,1,
f5_98,f5_140,0,
f5_98,f5_98,1,
f5_98,f5_130,0,
f5_98,f5_105,1,
f5_98,f5_148,1,
f5_98,f5_111,0,
f5_98,f5_166,0,
f5_98,f5_133,0,
f5_98,f5_124,0,
f5_98,f5_125,0,
f5_98,f5_149,0,
f5_98,f5_139,0,
f5_98,f5_161,0,
f5_98,f5_142,0,
f5_98,f5_153,0,
f5_98,f5_188,0,
f5_98,f5_160,0,
f5_98,f5_151,0,
f5_98,f5_167,0,
f5_98,f5_159,0,
f5_98,f5_174,0,
f5_98,f5_211,0,
f5_98,f5_178,0,
f5_98,f5_173,0,
f5_98,f5_189,0,
f5_98,f5_227,0,
f5_98,f5_200,0,
f5_98,f5_194,0,
f5_98,f5_201,0,
f5_98,f5_237,0,
f5_98,f5_234,0,
f5_98,f5_268,0,
f5_98,f5_216,0,
f5_98,f5_222,0,
f5_98,f5_232,0,
f5_98,f5_238,0,
f5_98,f5_308,0,
f5_98,f5_274,0,
f5_98,f5_243,0,
f5_98,f5_256,0,
f5_130,slack,0,
f5_130,primary,0,
f5_130,secondary,0,
f5_130,f5_22,0,
f5_130,f5_75,0,
f5_130,f5_83,0,
f5_130,f5_117,0,
f5_130,f5_87,0,
f5_130,f5_132,0,
f5_130,f5_92,1,
f5_130,f5_140,0,
f5_130,f5_98,0,
f5_130,f5_130,1,
f5_130,f5_105,0,
f5_130,f5_148,0,
f5_130,f5_111,0,
f5_130,f5_166,0,
f5_130,f5_133,0,
f5_130,f5_124,0,
f5_130,f5_125,0,
f5_130,f5_149,1,
f5_130,f5_139,1,
f5_130,f5_161,0,
f5_130,f5_142,0,
f5_130,f5_153,0,
f5_130,f5_188,0,
f5_130,f5_160,0,
f5_130,f5_151,0,
f5_130,f5_167,0,
f5_130,f5_159,0,
f5_130,f5_174,0,
f5_130,f5_211,0,
f5_130,f5_178,0,
f5_130,f5_173,0,
f5_130,f5_189,0,
f5_130,f5_227,0,
f5_130,f5_200,0,
f5_130,f5_194,0,
f5_130,f5_201,0,
f5_130,f5_237,0,
f5_130,f5_234,0,
f5_130,f5_268,0,
f5_130,f5_216,0,
f5_130,f5_222,0,
f5_130,f5_232,0,
f5_130,f5_238,0,
f5_130,f5_308,0,
f5_130,f5_274,0,
f5_130,f5_243,0,
f5_130,f5_256,0,
f5_105,slack,0,
f5_105,primary,0,
f5_105,secondary,0,
f5_105,f5_22,0,
f5_105,f5_75,0,
f5_105,f5_83,0,
f5_105,f5_117,0,
f5_105,f5_87,0,
f5_105,f5_132,0,
f5_105,f5_92,0,
f5_105,f5_140,0,
f5_105,f5_98,1,
f5_105,f5_130,0,
f5_105,f5_105,1,
f5_105,f5_148,0,
f5_105,f5_111,1,
f5_105,f5_166,1,
f5_105,f5_133,0,
f5_105,f5_124,0,
f5_105,f5_125,0,
f5_105,f5_149,0,
f5_105,f5_139,0,
f5_105,f5_161,0,
f5_105,f5_142,0,
f5_105,f5_153,0,
f5_105,f5_188,0,
f5_105,f5_160,0,
f5_105,f5_151,0,
f5_105,f5_167,0,
f5_105,f5_159,0,
f5_105,f5_174,0,
f5_105,f5_211,0,
f5_105,f5_178,0,
f5_105,f5_173,0,
f5_105,f5_189,0,
f5_105,f5_227,0,
f5_105,f5_200,0,
f5_105,f5_194,0,
f5_105,f5_201,0,
f5_105,f5_237,0,
f5_105,f5_234,0,
f5_105,f5_268,0,
f5_105,f5_216,0,
f5_105,f5_222,0,
f5_105,f5_232,0,
f5_105,f5_238,0,
f5_105,f5_308,0,
f5_105,f5_274,0,
f5_105,f5_243,0,
f5_105,f5_256,0,
f5_148,slack,0,
f5_148,primary,0,
f5_148,secondary,0,
f5_148,f5_22,0,
f5_148,f5_75,0,
f5_148,f5_83,0,
f5_148,f5_117,0,
f5_148,f5_87,0,
f5_148,f5_132,0,
f5_148,f5_92,0,
f5_148,f5_140,0,
f5_148,f5_98,1,
f5_148,f5_130,0,
f5_148,f5_105,0,
f5_148,f5_148,1,
f5_148,f5_111,0,
f5_148,f5_166,0,
f5_148,f5_133,0,
f5_148,f5_124,0,
f5_148,f5_125,0,
f5_148,f5_149,0,
f5_148,f5_139,0,
f5_148,f5_161,0,
f5_148,f5_142,0,
f5_148,f5_153,0,
f5_148,f5_188,0,
f5_148,f5_160,0,
f5_148,f5_151,0,
f5_148,f5_167,1,
f5_148,f5_159,1,
f5_148,f5_174,0,
f5_148,f5_211,0,
f5_148,f5_178,0,
f5_148,f5_173,0,
f5_148,f5_189,0,
f5_148,f5_227,0,
f5_148,f5_200,0,
f5_148,f5_194,0,
f5_148,f5_201,0,
f5_148,f5_237,0,
f5_148,f5_234,0,
f5_148,f5_268,0,
f5_148,f5_216,0,
f5_148,f5_222,0,
f5_148,f5_232,0,
f5_148,f5_238,0,
f5_148,f5_308,0,
f5_148,f5_274,0,
f5_148,f5_243,0,
f5_148,f5_256,0,
f5_111,slack,0,
f5_111,primary,0,
f5_111,secondary,0,
f5_111,f5_22,0,
f5_111,f5_75,0,
f5_111,f5_83,0,
f5_111,f5_117,0,
f5_111,f5_87,0,
f5_111,f5_132,0,
f5_111,f5_92,0,
f5_111,f5_140,0,
f5_111,f5_98,0,
f5_111,f5_130,0,
f5_111,f5_105,1,
f5_111,f5_148,0,
f5_111,f5_111,1,
f5_111,f5_166,0,
f5_111,f5_133,1,
f5_111,f5_124,0,
f5_111,f5_125,0,
f5_111,f5_149,0,
f5_111,f5_139,0,
f5_111,f5_161,0,
f5_111,f5_142,0,
f5_111,f5_153,0,
f5_111,f5_188,0,
f5_111,f5_160,0,
f5_111,f5_151,0,
f5_111,f5_167,0,
f5_111,f5_159,0,
f5_111,f5_174,0,
f5_111,f5_211,0,
f5_111,f5_178,0,
f5_111,f5_173,0,
f5_111,f5_189,0,
f5_111,f5_227,0,
f5_111,f5_200,0,
f5_111,f5_194,0,
f5_111,f5_201,0,
f5_111,f5_237,0,
f5_111,f5_234,0,
f5_111,f5_268,0,
f5_111,f5_216,0,
f5_111,f5_222,0,
f5_111,f5_232,0,
f5_111,f5_238,0,
f5_111,f5_308,0,
f5_111,f5_274,0,
f5_111,f5_243,0,
f5_111,f5_256,0,
f5_166,slack,0,
f5_166,primary,0,
f5_166,secondary,0,
f5_166,f5_22,0,
f5_166,f5_75,0,
f5_166,f5_83,0,
f5_166,f5_117,0,
f5_166,f5_87,0,
f5_166,f5_132,0,
f5_166,f5_92,0,
f5_166,f5_140,0,
f5_166,f5_98,0,
f5_166,f5_130,0,
f5_166,f5_105,1,
f5_166,f5_148,0,
f5_166,f5_111,0,
f5_166,f5_166,1,
f5_166,f5_133,0,
f5_166,f5_124,0,
f5_166,f5_125,0,
f5_166,f5_149,0,
f5_166,f5_139,0,
f5_166,f5_161,0,
f5_166,f5_142,0,
f5_166,f5_153,0,
f5_166,f5_188,0,
f5_166,f5_160,0,
f5_166,f5_151,0,
f5_166,f5_167,0,
f5_166,f5_159,0,
f5_166,f5_174,0,
